grid,nr,cvs,kappas
1,130,15.50000000*14.50000000,2.00000000e+01*2.00000000e+01
1,131,15.50000000*15.00000000,2.00000000e+01*2.00000000e+01
1,132,15.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,133,15.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,134,15.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,135,16.00000000*7.50000000,4.00000000e+01*4.00000000e+01
1,136,16.00000000*8.50000000,4.00000000e+01*4.00000000e+01
1,137,16.00000000*9.50000000,4.00000000e+01*4.00000000e+01
1,138,16.00000000*10.50000000,4.00000000e+01*4.00000000e+01
1,139,16.00000000*14.50000000,4.00000000e+01*4.00000000e+01
1,140,16.00000000*15.50000000,4.00000000e+01*4.00000000e+01
1,141,16.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,142,16.50000000*5.00000000,4.00000000e+01*4.00000000e+01
1,143,16.50000000*5.50000000,4.00000000e+01*4.00000000e+01
1,144,16.50000000*7.50000000,4.00000000e+01*4.00000000e+01
1,145,16.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,146,16.50000000*9.50000000,4.00000000e+01*4.00000000e+01
1,147,16.50000000*10.50000000,4.00000000e+01*4.00000000e+01
1,148,16.50000000*11.00000000,4.00000000e+01*4.00000000e+01
1,149,16.50000000*11.50000000,4.00000000e+01*4.00000000e+01
1,150,16.50000000*12.00000000,4.00000000e+01*4.00000000e+01
1,151,16.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,152,16.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,153,16.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,154,16.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,155,16.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,156,17.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,157,17.50000000*5.00000000,8.00000000e+01*8.00000000e+01
1,158,17.50000000*5.50000000,8.00000000e+01*8.00000000e+01
1,159,5.00000000*14.00000000,4.00000000e+01*4.00000000e+01
