layer,nr,cvs,kappas,type
1,109,-11.25000000*-10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,110,-11.25000000*-9.75000000,1.60000000e+01*1.60000000e+01,new_node
1,111,-11.25000000*-9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,112,-11.25000000*-8.25000000,6.40000000e+01*6.40000000e+01,new_node
1,113,-11.25000000*-7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,114,-11.25000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,115,-11.25000000*-6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,116,-11.25000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,117,-11.25000000*-4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,118,-11.25000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,119,-11.25000000*-3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,120,-11.25000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,121,-11.25000000*-1.50000000,3.20000000e+01*3.20000000e+01,new_node
1,122,-11.25000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,123,-11.25000000*0.00000000,3.20000000e+01*3.20000000e+01,new_node
1,124,-11.25000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,125,-11.25000000*1.50000000,3.20000000e+01*3.20000000e+01,new_node
1,126,-11.25000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,127,-11.25000000*3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,128,-11.25000000*3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,129,-11.25000000*4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,130,-11.25000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,131,-11.25000000*6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,132,-11.25000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,133,-11.25000000*7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,134,-11.25000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,135,-11.25000000*9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,136,-11.25000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,137,-11.25000000*10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,138,-11.25000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,139,-11.25000000*12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,140,-11.25000000*12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,141,-10.50000000*-11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,142,-10.50000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,143,-10.50000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,144,-10.50000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,145,-10.50000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,146,-10.50000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,147,-10.50000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,148,-10.50000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,149,-10.50000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,150,-10.50000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,151,-10.50000000*3.75000000,1.60000000e+01*1.60000000e+01,new_node
1,152,-10.50000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,153,-10.50000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,154,-10.50000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,155,-10.50000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,156,-10.50000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,157,-9.75000000*-12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,158,-9.75000000*-12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,159,-9.75000000*-11.25000000,6.40000000e+01*6.40000000e+01,new_node
1,160,-9.75000000*-10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,161,-9.75000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,162,-9.75000000*-9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,163,-9.75000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,164,-9.75000000*-7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,165,-9.75000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,166,-9.75000000*-6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,167,-9.75000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,168,-9.75000000*-4.50000000,1.60000000e+01*1.60000000e+01,new_node
1,169,-9.75000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,170,-9.75000000*-3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,171,-9.75000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,172,-9.75000000*-1.50000000,3.20000000e+01*3.20000000e+01,new_node
1,173,-9.75000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,174,-9.75000000*0.00000000,3.20000000e+01*3.20000000e+01,new_node
1,175,-9.75000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,176,-9.75000000*1.50000000,3.20000000e+01*3.20000000e+01,new_node
1,177,-9.75000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,178,-9.75000000*3.00000000,1.60000000e+01*1.60000000e+01,new_node
1,179,-9.75000000*3.75000000,1.60000000e+01*1.60000000e+01,new_node
1,180,-9.75000000*4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,181,-9.75000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,182,-9.75000000*6.00000000,6.40000000e+01*6.40000000e+01,new_node
1,183,-9.75000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,184,-9.75000000*7.50000000,1.60000000e+01*1.60000000e+01,new_node
1,185,-9.75000000*8.25000000,1.60000000e+01*1.60000000e+01,new_node
1,186,-9.75000000*9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,187,-9.75000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,188,-9.75000000*10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,189,-9.75000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,190,-9.75000000*12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,191,-9.75000000*12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,192,-9.00000000*-12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,193,-9.00000000*-11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,194,-9.00000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,195,-9.00000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,196,-9.00000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,197,-9.00000000*-5.25000000,6.40000000e+01*6.40000000e+01,new_node
1,198,-9.00000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,199,-9.00000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,200,-9.00000000*-0.75000000,6.40000000e+01*6.40000000e+01,new_node
1,201,-9.00000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,202,-9.00000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,203,-9.00000000*3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,204,-9.00000000*5.25000000,1.60000000e+01*1.60000000e+01,new_node
1,205,-9.00000000*6.75000000,1.60000000e+01*1.60000000e+01,new_node
1,206,-9.00000000*8.25000000,1.60000000e+01*1.60000000e+01,new_node
