grid,nr,cvs,kappas
1,131,6.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,132,6.50000000*9.00000000,8.00000000e+01*8.00000000e+01
1,133,6.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,134,6.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,135,6.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,136,6.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,137,6.50000000*11.50000000,4.00000000e+01*4.00000000e+01
1,138,6.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,139,6.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,140,6.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,141,6.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,142,6.50000000*14.00000000,4.00000000e+01*4.00000000e+01
1,143,6.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,144,6.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,145,6.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,146,6.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,147,6.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,148,6.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,149,6.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,150,6.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,151,6.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,152,7.00000000*8.50000000,8.00000000e+01*8.00000000e+01
1,153,7.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,154,7.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,155,7.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,156,7.00000000*12.50000000,8.00000000e+01*8.00000000e+01
1,157,7.00000000*13.50000000,8.00000000e+01*8.00000000e+01
1,158,7.00000000*14.50000000,8.00000000e+01*8.00000000e+01
1,159,7.00000000*15.50000000,8.00000000e+01*8.00000000e+01
1,160,7.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,161,7.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,162,7.00000000*18.50000000,8.00000000e+01*8.00000000e+01
1,163,7.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,164,7.50000000*9.00000000,8.00000000e+01*8.00000000e+01
1,165,7.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,166,7.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,167,7.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,168,7.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,169,7.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,170,7.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,171,7.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,172,7.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,173,7.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,174,7.50000000*14.00000000,4.00000000e+01*4.00000000e+01
1,175,7.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,176,7.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,177,7.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,178,7.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,179,7.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,180,7.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,181,7.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,182,7.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,183,7.50000000*19.00000000,8.00000000e+01*8.00000000e+01
1,184,7.50000000*19.50000000,8.00000000e+01*8.00000000e+01
1,185,8.00000000*8.50000000,8.00000000e+01*8.00000000e+01
1,186,8.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,187,8.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,188,8.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,189,8.00000000*13.50000000,8.00000000e+01*8.00000000e+01
1,190,8.00000000*14.50000000,8.00000000e+01*8.00000000e+01
1,191,8.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,192,8.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,193,8.00000000*18.50000000,8.00000000e+01*8.00000000e+01
1,194,8.00000000*19.50000000,8.00000000e+01*8.00000000e+01
1,195,8.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,196,8.50000000*5.00000000,8.00000000e+01*8.00000000e+01
1,197,8.50000000*5.50000000,8.00000000e+01*8.00000000e+01
1,198,8.50000000*6.00000000,8.00000000e+01*8.00000000e+01
1,199,8.50000000*6.50000000,8.00000000e+01*8.00000000e+01
1,200,8.50000000*7.00000000,8.00000000e+01*8.00000000e+01
1,201,8.50000000*7.50000000,8.00000000e+01*8.00000000e+01
1,202,8.50000000*8.00000000,8.00000000e+01*8.00000000e+01
1,203,8.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,204,8.50000000*9.00000000,8.00000000e+01*8.00000000e+01
1,205,8.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,206,8.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,207,8.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,208,8.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,209,8.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,210,8.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,211,8.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,212,8.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,213,8.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,214,8.50000000*14.00000000,8.00000000e+01*8.00000000e+01
1,215,8.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,216,8.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,217,8.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,218,8.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,219,8.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,220,8.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,221,8.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,222,8.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,223,8.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,224,8.50000000*19.00000000,8.00000000e+01*8.00000000e+01
1,225,8.50000000*19.50000000,8.00000000e+01*8.00000000e+01
1,226,9.00000000*4.50000000,8.00000000e+01*8.00000000e+01
1,227,9.00000000*5.50000000,8.00000000e+01*8.00000000e+01
1,228,9.00000000*6.50000000,8.00000000e+01*8.00000000e+01
1,229,9.00000000*7.50000000,8.00000000e+01*8.00000000e+01
1,230,9.00000000*8.50000000,8.00000000e+01*8.00000000e+01
1,231,9.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,232,9.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,233,9.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,234,9.00000000*12.50000000,8.00000000e+01*8.00000000e+01
1,235,9.00000000*13.50000000,8.00000000e+01*8.00000000e+01
1,236,9.00000000*14.50000000,8.00000000e+01*8.00000000e+01
1,237,9.00000000*15.50000000,8.00000000e+01*8.00000000e+01
1,238,9.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,239,9.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,240,9.50000000*3.50000000,8.00000000e+01*8.00000000e+01
1,241,9.50000000*4.00000000,8.00000000e+01*8.00000000e+01
1,242,9.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,243,9.50000000*5.00000000,8.00000000e+01*8.00000000e+01
1,244,9.50000000*5.50000000,8.00000000e+01*8.00000000e+01
1,245,9.50000000*6.00000000,8.00000000e+01*8.00000000e+01
1,246,9.50000000*6.50000000,8.00000000e+01*8.00000000e+01
1,247,9.50000000*7.00000000,8.00000000e+01*8.00000000e+01
1,248,9.50000000*7.50000000,8.00000000e+01*8.00000000e+01
1,249,9.50000000*8.00000000,8.00000000e+01*8.00000000e+01
1,250,9.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,251,9.50000000*9.00000000,8.00000000e+01*8.00000000e+01
1,252,9.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,253,9.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,254,9.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,255,9.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,256,9.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,257,9.50000000*12.00000000,4.00000000e+01*4.00000000e+01
1,258,9.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,259,9.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,260,9.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,261,9.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,262,9.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,263,9.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,264,9.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,265,9.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,266,9.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,267,9.50000000*18.00000000,8.00000000e+01*8.00000000e+01
