grid,nr,cvs,kappas
2,111,14.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,112,14.50000000*20.00000000,8.00000000e+01*8.00000000e+01
2,113,14.50000000*20.50000000,8.00000000e+01*8.00000000e+01
2,114,15.00000000*13.50000000,4.00000000e+01*4.00000000e+01
2,115,15.00000000*16.50000000,4.00000000e+01*4.00000000e+01
2,116,15.00000000*17.50000000,4.00000000e+01*4.00000000e+01
2,117,15.00000000*19.50000000,8.00000000e+01*8.00000000e+01
2,118,15.00000000*20.50000000,8.00000000e+01*8.00000000e+01
2,119,15.50000000*10.50000000,8.00000000e+01*8.00000000e+01
2,120,15.50000000*11.00000000,8.00000000e+01*8.00000000e+01
2,121,15.50000000*11.50000000,8.00000000e+01*8.00000000e+01
2,122,15.50000000*12.50000000,8.00000000e+01*8.00000000e+01
2,123,15.50000000*13.00000000,4.00000000e+01*4.00000000e+01
2,124,15.50000000*13.50000000,4.00000000e+01*4.00000000e+01
2,125,15.50000000*16.50000000,1.00000000e+01*1.00000000e+01
2,126,15.50000000*17.00000000,1.00000000e+01*1.00000000e+01
2,127,15.50000000*17.50000000,2.00000000e+01*2.00000000e+01
2,128,15.50000000*18.50000000,4.00000000e+01*4.00000000e+01
2,129,15.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,130,15.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,131,15.50000000*20.00000000,8.00000000e+01*8.00000000e+01
2,132,15.50000000*20.50000000,8.00000000e+01*8.00000000e+01
2,133,16.00000000*11.50000000,8.00000000e+01*8.00000000e+01
2,134,16.00000000*12.50000000,8.00000000e+01*8.00000000e+01
2,135,16.00000000*16.50000000,4.00000000e+01*4.00000000e+01
2,136,16.00000000*18.50000000,4.00000000e+01*4.00000000e+01
2,137,16.00000000*19.50000000,8.00000000e+01*8.00000000e+01
2,138,16.50000000*5.50000000,8.00000000e+01*8.00000000e+01
2,139,16.50000000*6.50000000,8.00000000e+01*8.00000000e+01
2,140,16.50000000*7.00000000,8.00000000e+01*8.00000000e+01
2,141,16.50000000*7.50000000,8.00000000e+01*8.00000000e+01
2,142,16.50000000*10.50000000,8.00000000e+01*8.00000000e+01
2,143,16.50000000*11.00000000,8.00000000e+01*8.00000000e+01
2,144,16.50000000*11.50000000,8.00000000e+01*8.00000000e+01
2,145,16.50000000*12.50000000,4.00000000e+01*4.00000000e+01
2,146,16.50000000*15.50000000,4.00000000e+01*4.00000000e+01
2,147,16.50000000*16.00000000,8.00000000e+01*8.00000000e+01
2,148,16.50000000*16.50000000,8.00000000e+01*8.00000000e+01
2,149,16.50000000*17.00000000,4.00000000e+01*4.00000000e+01
2,150,16.50000000*17.50000000,8.00000000e+01*8.00000000e+01
2,151,16.50000000*18.50000000,8.00000000e+01*8.00000000e+01
2,152,16.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,153,16.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,154,16.50000000*20.00000000,8.00000000e+01*8.00000000e+01
2,155,16.50000000*20.50000000,8.00000000e+01*8.00000000e+01
2,156,17.00000000*5.50000000,8.00000000e+01*8.00000000e+01
2,157,17.00000000*6.50000000,8.00000000e+01*8.00000000e+01
2,158,17.00000000*7.50000000,8.00000000e+01*8.00000000e+01
2,159,17.00000000*12.50000000,4.00000000e+01*4.00000000e+01
2,160,17.00000000*16.50000000,4.00000000e+01*4.00000000e+01
2,161,17.00000000*20.50000000,8.00000000e+01*8.00000000e+01
2,162,17.50000000*5.50000000,8.00000000e+01*8.00000000e+01
2,163,17.50000000*6.00000000,8.00000000e+01*8.00000000e+01
2,164,17.50000000*6.50000000,8.00000000e+01*8.00000000e+01
2,165,17.50000000*7.50000000,4.00000000e+01*4.00000000e+01
2,166,17.50000000*10.50000000,8.00000000e+01*8.00000000e+01
2,167,17.50000000*11.00000000,8.00000000e+01*8.00000000e+01
2,168,17.50000000*11.50000000,8.00000000e+01*8.00000000e+01
2,169,17.50000000*12.50000000,4.00000000e+01*4.00000000e+01
2,170,17.50000000*14.50000000,4.00000000e+01*4.00000000e+01
2,171,17.50000000*15.00000000,4.00000000e+01*4.00000000e+01
2,172,17.50000000*15.50000000,4.00000000e+01*4.00000000e+01
2,173,17.50000000*16.50000000,4.00000000e+01*4.00000000e+01
2,174,17.50000000*18.50000000,8.00000000e+01*8.00000000e+01
2,175,17.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,176,17.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,177,17.50000000*20.00000000,8.00000000e+01*8.00000000e+01
2,178,17.50000000*20.50000000,8.00000000e+01*8.00000000e+01
2,179,18.00000000*6.50000000,8.00000000e+01*8.00000000e+01
2,180,18.00000000*11.50000000,8.00000000e+01*8.00000000e+01
2,181,18.00000000*18.50000000,8.00000000e+01*8.00000000e+01
2,182,18.00000000*19.50000000,8.00000000e+01*8.00000000e+01
2,183,18.50000000*6.50000000,8.00000000e+01*8.00000000e+01
2,184,18.50000000*7.50000000,8.00000000e+01*8.00000000e+01
2,185,18.50000000*8.00000000,8.00000000e+01*8.00000000e+01
2,186,18.50000000*8.50000000,8.00000000e+01*8.00000000e+01
2,187,18.50000000*9.00000000,8.00000000e+01*8.00000000e+01
2,188,18.50000000*9.50000000,4.00000000e+01*4.00000000e+01
2,189,18.50000000*10.50000000,2.00000000e+01*2.00000000e+01
2,190,18.50000000*11.00000000,2.00000000e+01*2.00000000e+01
2,191,18.50000000*11.50000000,8.00000000e+01*8.00000000e+01
2,192,18.50000000*12.00000000,8.00000000e+01*8.00000000e+01
2,193,18.50000000*12.50000000,2.00000000e+01*2.00000000e+01
2,194,18.50000000*13.50000000,2.00000000e+01*2.00000000e+01
2,195,18.50000000*14.50000000,4.00000000e+01*4.00000000e+01
2,196,18.50000000*15.00000000,4.00000000e+01*4.00000000e+01
2,197,18.50000000*15.50000000,8.00000000e+01*8.00000000e+01
2,198,18.50000000*18.50000000,8.00000000e+01*8.00000000e+01
2,199,18.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,200,18.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,201,19.00000000*6.50000000,8.00000000e+01*8.00000000e+01
2,202,19.00000000*9.50000000,8.00000000e+01*8.00000000e+01
2,203,19.00000000*11.50000000,2.00000000e+01*2.00000000e+01
2,204,19.00000000*13.50000000,2.00000000e+01*2.00000000e+01
2,205,19.50000000*6.50000000,8.00000000e+01*8.00000000e+01
2,206,19.50000000*7.00000000,8.00000000e+01*8.00000000e+01
2,207,19.50000000*7.50000000,8.00000000e+01*8.00000000e+01
2,208,19.50000000*8.50000000,8.00000000e+01*8.00000000e+01
2,209,19.50000000*9.00000000,2.00000000e+01*2.00000000e+01
2,210,19.50000000*9.50000000,2.00000000e+01*2.00000000e+01
2,211,19.50000000*11.50000000,8.00000000e+01*8.00000000e+01
2,212,19.50000000*12.00000000,8.00000000e+01*8.00000000e+01
2,213,19.50000000*12.50000000,8.00000000e+01*8.00000000e+01
2,214,19.50000000*13.00000000,8.00000000e+01*8.00000000e+01
2,215,19.50000000*13.50000000,8.00000000e+01*8.00000000e+01
2,216,19.50000000*14.50000000,8.00000000e+01*8.00000000e+01
2,217,19.50000000*15.50000000,8.00000000e+01*8.00000000e+01
2,218,20.00000000*6.50000000,8.00000000e+01*8.00000000e+01
2,219,20.00000000*7.50000000,8.00000000e+01*8.00000000e+01
2,220,20.00000000*8.50000000,8.00000000e+01*8.00000000e+01
2,221,20.00000000*9.50000000,4.00000000e+01*4.00000000e+01
2,222,20.00000000*12.50000000,8.00000000e+01*8.00000000e+01
2,223,20.00000000*14.50000000,8.00000000e+01*8.00000000e+01
2,224,20.00000000*15.50000000,8.00000000e+01*8.00000000e+01
2,225,20.50000000*6.50000000,8.00000000e+01*8.00000000e+01
2,226,20.50000000*7.00000000,8.00000000e+01*8.00000000e+01
2,227,20.50000000*7.50000000,8.00000000e+01*8.00000000e+01
2,228,20.50000000*8.50000000,8.00000000e+01*8.00000000e+01
2,229,20.50000000*9.00000000,8.00000000e+01*8.00000000e+01
2,230,20.50000000*9.50000000,8.00000000e+01*8.00000000e+01
2,231,20.50000000*10.50000000,8.00000000e+01*8.00000000e+01
2,232,20.50000000*11.50000000,8.00000000e+01*8.00000000e+01
2,233,20.50000000*12.50000000,8.00000000e+01*8.00000000e+01
2,234,20.50000000*13.00000000,8.00000000e+01*8.00000000e+01
2,235,20.50000000*13.50000000,8.00000000e+01*8.00000000e+01
2,236,20.50000000*14.50000000,8.00000000e+01*8.00000000e+01
2,237,20.50000000*15.00000000,8.00000000e+01*8.00000000e+01
2,238,20.50000000*15.50000000,8.00000000e+01*8.00000000e+01
2,239,21.00000000*10.50000000,8.00000000e+01*8.00000000e+01
2,240,21.00000000*11.50000000,8.00000000e+01*8.00000000e+01
2,241,21.50000000*10.50000000,8.00000000e+01*8.00000000e+01
2,242,21.50000000*11.00000000,8.00000000e+01*8.00000000e+01
2,243,21.50000000*11.50000000,8.00000000e+01*8.00000000e+01
2,244,5.00000000*17.00000000,1.50000000e+02*1.50000000e+02
2,245,5.00000000*19.00000000,1.50000000e+02*1.50000000e+02
2,246,6.00000000*16.00000000,8.00000000e+01*8.00000000e+01
2,247,6.00000000*17.00000000,8.00000000e+01*8.00000000e+01
2,248,6.00000000*18.00000000,8.00000000e+01*8.00000000e+01
2,249,6.00000000*19.00000000,8.00000000e+01*8.00000000e+01
2,250,6.00000000*20.00000000,4.00000000e+01*4.00000000e+01
2,251,7.00000000*15.00000000,1.50000000e+02*1.50000000e+02
2,252,7.00000000*16.00000000,8.00000000e+01*8.00000000e+01
2,253,7.00000000*17.00000000,8.00000000e+01*8.00000000e+01
2,254,7.00000000*18.00000000,4.00000000e+01*4.00000000e+01
2,255,7.00000000*20.00000000,8.00000000e+01*8.00000000e+01
2,256,7.00000000*21.00000000,1.50000000e+02*1.50000000e+02
2,257,8.00000000*16.00000000,4.00000000e+01*4.00000000e+01
2,258,8.00000000*17.00000000,8.00000000e+01*8.00000000e+01
2,259,8.00000000*18.00000000,2.00000000e+01*2.00000000e+01
2,260,8.00000000*19.00000000,8.00000000e+01*8.00000000e+01
2,261,8.00000000*20.00000000,4.00000000e+01*4.00000000e+01
2,262,9.00000000*15.00000000,1.50000000e+02*1.50000000e+02
2,263,9.00000000*16.00000000,8.00000000e+01*8.00000000e+01
2,264,9.00000000*17.00000000,4.00000000e+01*4.00000000e+01
2,265,9.00000000*18.00000000,2.00000000e+01*2.00000000e+01
2,266,9.00000000*19.00000000,4.00000000e+01*4.00000000e+01
2,267,9.00000000*20.00000000,2.00000000e+01*2.00000000e+01
2,268,9.00000000*21.00000000,1.50000000e+02*1.50000000e+02
2,269,10.00000000*15.00000000,1.50000000e+02*1.50000000e+02
